Hospital Name,Address,CITY,STATE,PIN CODE,PPN / NON PPN
MANORMA NURSING HOME,"Sai Sadan Building No-3, Opp. divine High School, Nallasopara",MUMBAI,MAHARASHTRA,401209,PPN
"Muvattupuzha Co-Operative Super Specialty Hospital &
Research Centre LTD",Near Chalikadavu Bridge One Way Junction Ernakulam kerala Ernakulam,ERNAKULAM,KERALA,686673,NON PPN
Shree Ramkrishna Nursing Home,"Prajapati Cascade, First Floor, Sector 1, Road No.18, New Panvel",MUMBAI,MAHARASHTRA,410206,PPN
SHREE SIDDHIVINAYAK MULTISPECIALITY HOSPITAL,"Hall, Madhuvan Heights, Madhuvan Township, Opp. Evershine Gate, Gokhivare,
Vasai -E",MUMBAI,MAHARASHTRA,401208,PPN
Sunshine Eye Care,"First Floor Building Number, F-4, Vashi Road, Sector 9, Vashi, Vashi",MUMBAI,MAHARASHTRA,400703,PPN
Saarth Nethralaya,"102, Gautameshwardham, Tandan Road, Ramnagar Near Thakur Hall, Dombivili",THANE,MAHARASHTRA,421201,PPN
Sawant Hospital,"Ground Floor, Chamunda Villa Building, Near Samrat Hotel, Dombivli",THANE,MAHARASHTRA,421202,PPN
Niramay Hospital,"Plot No 148, Vasudev Balwant Phadke Rd, MCCH Society, Panvel",MUMBAI,MAHARASHTRA,410206,PPN
Jankalyan Multispeciality Hospita,"Malang Road, Malangad Road opp.kalyan janta shakari bank, Kalyan East., Kalyan,
Maharashtra 421306",KALYAN,MAHARASHTRA,421306,PPN
Pragati Multispeciality Hospital,"Sai Vaibhav Building 1st Floor, Ramkuvar Thakur Road, Dahisar",MUMBAI,MAHARASHTRA,400068,PPN
HCG NCHRI Cancer Centre,"No-50-51, Mouja-Wanjri, Bande Nawaz Nagar, Kalamna Ring Road,",NAGPUR,MAHARASHTRA,440026,NON PPN
Shroff Eye Centre,"110-Commercial Plaza,Radisson Suites,B-Block,Sushant Lok Phase-I",GURGAON,HARYANA,122002,PPN
Meitra Hospital,"Building No. 38/2208-B, Karaparamba, Kunduparamba Mini Bypass Road, Edakkad
Post, Kozhikode,",CALICUT,KERALA,673005,NON PPN
Spandana Hospital,"Saptapur, Malaprabha Complex, Dharwad",DHARWAD,KARNATAKA,580001,NON PPN
Banthia Super Speciality Hospital,"Talab Road, Raipur ChhattisgarhRaipur (Chhattisgarh)",RAIPUR,CHATTISGARH,492001,NON PPN
Arvind Hospital,"Duggal Colony, Opp Randhir Theatre, KarnalKarnal",KARNAL,HARYANA,132001,NON PPN
Safal Hospital,"47, Congress Nagar, Near Ajni Railway Station, opp. Dhanwate National College,
Dhantoli",NAGPUR,MAHARASHTRA,440012,NON PPN
Narayana Superspeciality Hospital,"Plot 3201, Block V, Sector 24, DLF Phase 3, Nathupur",GURGAON,HARYANA,122002,PPN
Shri Ram Kishore Memorial Hospital,"C 6/1, Stedium Road, Near Vodafone Office, Opp Model Town Police Station",BAREILLY,UTTAR PRADESH,243005,NON PPN
shree Raam Nursing Home,"4/227, N.G.G.O, Colony CoimbatoreCoimbatore",COIMBATORE,TAMILNADU,641022,NON PPN
Dayal Nursing Home,Neem Sarai Mundera AllahabadAllahabad,ALLAHABAD,UTTAR PRADESH,211011,NON PPN
SantKrupa Multi Speciality And Accident Hospital,"Opp.Bhatiya College,, Lam Rd, Deolali, Maharashtra 422501Nashik",NASIK,MAHARASHTRA,422401,NON PPN
Goyal Endoscopy Surgery & Research Centre Pvt Ltd,"5-B-14, Mahaveer Nagar Extension, Near Teen Batti Chauraha, Subhash Circule",KOTA,RAJASTHAN,324009,NON PPN
LifeCare Hospital Rewari,"Sector-05,Huda Market, Opp. BMG Mall, Circular Road, Khasapura, Rewari,
Haryana 123401Rewari",REWARI,HARYANA,123401,NON PPN
Sunshine Hospital Gachibowli,"7-56/19,Survey No-40,45,46,Dargah Road,LIG Chitrapuri Colony, Raidurg,
Gachibowli",HYDERABAD,TELANGANA,500035,PPN
The Corporate Hospital,"Batala Road, Amritsar",AMRITSAR,PUNJAB,143001,PPN
Vinn Hospital,"7-1-21, Uma Nagar, Railway Station Road, Begumpet,",HYDERABAD,TELANGANA,500016,PPN
Romeen Medico Surgical Hospital,"Opposite Muncipal School, Group No. 1, Ganesh Marg, Tagore Nagar Marg, Tagore
Nagar, Vikhroli East, Mumbai, Maharashtra 400083nil",MUMBAI,MAHARASHTRA,400083,PPN
Amandeep Medicity,"361, Mall Road, Near Novelty Chowk, nil",AMRITSAR,PUNJAB,143001,PPN
Dr Jacobs Eye Care Hospital,"Stadium Link Road, Kaloor Jawaharlal Nehru International Stadium, nil",ERNAKULAM,KERALA,682025,NON PPN
Tathagat Heart Care Centre And Hospital,"31, Mallige Premises, `A`-Block, 1St Floor, Crescent Road, Gandhi Nagar,",BANGALORE,KARNATAKA,560001,PPN
SUYOG HOSPITAL,"Dakshineshwara Road, Ramakrishna Nagar,",MYSORE,KARNATAKA,570022,NON PPN
Surya Hospital,"1st Main, Vinayaka Nagar, Behind Akkamahadevi Seva Samaja, Jaya Chamarajendra
Road, Tumakuru, Karnataka 572101Tumkur",TUMKUR,KARNATAKA,572101,NON PPN
Shettys Hospital,"Plot No. 11 & 12, 12th F Main Road, Kaveri Nagar, Bommanahalli, Bengaluru,
Karnataka 560068Bangalore",BANGALORE,KARNATAKA,560068,NON PPN
Sankara Jyoti Eye Institute,"Kalyan Nagar Mathpara, Kulinpara, Khardaha, Kolkata, West Bengal 700116Kolkata",KOLKATA,WEST BENGAL,700116,PPN
Shree Maternity and General Hospital,"C-586, sector-25, Manera Road, Ulhasnagar, Near Welfare School,
Ulhasnagar,Ulhasnagar",THANE,MAHARASHTRA,421004,PPN
Orion Multispecialty Hospital,"Nirmal Chaya Apt., Opp. Agarwal Hall, Manpada Road, Dombivli",MUMBAI,MAHARASHTRA,421201,PPN
Tatwadarsha Hospital,"Gokul Rd, Shreya Nagar, Industrial Estate, nil",HUBLI,KARNATAKA,580030,NON PPN
Sri Devi Nursing Home,"6-6-491/a, Sharmanagar, Hospital street, Karimnagar, 505001Karimnagar","SECUNDERABA
D",TELANGANA,505001,NON PPN
Ramsaranya Hospitals Pvt Ltd,"14-37-4A, Krishna Nagar Maharanipeta,","VISAKHAPATN
AM",ANDHRA PRADESH,530002,NON PPN
New Vision Eye Centre,"A-5/233, Avtar Enclave, Paschim Vihar",NEW DELHI,DELHI,110063,PPN
Madhukar Rainbow Childrens Medicare Pvt Ltd,"FC-29, Plot No.5, Geetanjali, Near Malviya Nagar Metro Station Gate No 1",NEW DELHI,DELHI,110017,PPN
Padmani Hospital & ICU,"RR Realty , First Floor, Tanlk road. LBS Marg,",MUMBAI,MAHARASHTRA,400078,PPN
Lifeline Medicare Hospital,"1st Floor, Takur Complex, Above Saraswath Bank, Asha Nagar Road, Near Wellness
Forver, Kandivali East,",MUMBAI,MAHARASHTRA,400101,PPN
Balaji Hospital Ulwe,"Star Paradise, Ground Floor And First Floor Plot Number 84, Near Canara Bank,
Sector 5, Ulwe, Navi Mumbai, Maharashtra ccUlwe",MUMBAI,MAHARASHTRA,410206,PPN
Kaushalya Eye Research Institute,"Katahalbari, Khanjarpur, Bhagalpur",BHAGALPUR,BIHAR,812001,NON PPN
Florem Hospital,MAJITHA ROAD BYEPASS CHOWK Amritsar,AMRITSAR,PUNJAB,143001,PPN
Renu Hospital,"Near Maruti Showroom, Barshi Road, Tirupati Nagar, Beed",BEED,MAHARASHTRA,431122,NON PPN
Matrix Hospital & accident Care,"Lal Danth, Kaladungi Road HaldwaniHaldwani",HALDWANI,UTTARAKHAND,263139,NON PPN
Charak Hospital And Research Centre,"Dubagga, Hardoi Road,Near Safed Masjid,",LUCKNOW,UTTAR PRADESH,226003,NON PPN
Doctor Today IVF And Multispeciality Hospital,"5C-2BP, Railway Road, NIT",FARIDABAD,HARYANA,121007,PPN
"Orison Superspeciality Hospital inferlity And Trauma
Centre","33, Adarsh Nagar, Barewal Road, Opp. Grand Walk Mall, Ferozepur Road-Ludhiana",LUDHIANA,PUNJAB,141012,PPN
Lotus Hospital,"Sonali Road, PanipatPanipat",PANIPAT,HARYANA,132103,NON PPN
Kamaal Nursing Home,"Mohalla- Afghanan, Near Jama Masjid Main Market Dhampur,Bijnore",BIJNORE,UTTAR PRADESH,246761,NON PPN
Kamla Nursing Home,"21, Manu Marg,Alwar",ALWAR,RAJASTHAN,301001,NON PPN
Pavan Sai Hospital,"Plot No 187-188, Road Number 3, Near Reliance Petrol Pump, Rock Town Colony,
Nagole-LB Nagar Road,",HYDERABAD,TELANGANA,500074,PPN
Blossoms Superspeciality Hospital,2-Khandari Quarters. Master Plan road. agraAgra,AGRA,UTTAR PRADESH,282002,NON PPN
Golden Hospital,"SCF 10-11, Near MS Enclave Gate, Opp. Fort Mystic Resort, Dhakoli,",ZIRAKAPUR,PUNJAB,140603,PPN
Venugram Hospital,"SBI Colony,, CTS: 785, 2nd Cross, Hindu Nagar (R.C.Nagar),, Near 3rd Railway Gate,,
Belgaum, Karnataka 590006Belgaum",BELGUAM,KARNATAKA,590006,NON PPN
"Femiint Health A Unit of Chaithanya Integreated
Healthcare Pvt Ltd","No 34, Next to Forum Value Mall, Whitefield Main Road",BANGALORE,KARNATAKA,560066,PPN
Kruti Hospital,"Plot No. 27 & 28, Hasmathpet Road, Beside Reliance Fresh Super Market,
Bowenpally, Secunderabad, Telangana 500011Secunderabad","SECUNDERABA
D",TELANGANA,500011,PPN
Chinsurah Medicare Nursing Home,"Hospital Road, Chinsurah, Chinsurah R S, Kapasdanga,",HOOGLI,WEST BENGAL,712101,NON PPN
Colony Nursing Home,"50-51, Laxmi Park Colony, LB Shastri Road, Near Dandekar Bridge, Navi Peth,",PUNE,MAHARASHTRA,411030,PPN
Astra Super Speciality Hospital,"""21/7 Konanakunte Cross, Vasanthapura Main Road, 3rd Phase,",BANGALORE,KARNATAKA,560062,PPN
NDR Hospital,"No 4, B Sector, Opp Yelahanka New Town Bus Stop, Yelahanka New Town",BANGALORE,KARNATAKA,560064,PPN
LYF Hospital,"NH 4, Begum Hazart Mahal Marg, Opp. St Thomas School Gate No. 4, Gyan Khand
1, Indirapuram,",GHAZIABAD,UTTAR PRADESH,201014,PPN
Shreya Hospital,"2nd Main Road, Shanaishwara Swamy Temple opp Road, Behind Tirumala Dairy,
Fort Area, Kolar, Karnataka 563101Kolar",BANGALORE,KARNATAKA,563101,NON PPN
Wellcare Hospital & Research Institute,"9th cross, Thillai Nagar Main Rd, Thillai Nagar, Tiruchirappalli, Tamil Nadu
620018Trichy",TRICHY,TAMILNADU,620018,NON PPN
KK MULTISPECIALITY HOSPITAL,"Alandi Markal Road, Pune",PUNE,MAHARASHTRA,412105,NON PPN
SIS Hospital & Research Centre,"B- Commercial , 1/9, Ambedker Nagar Awas Vikas No-3, Kalyan Pur, Kanpur",KANPUR,UTTAR PRADESH,208017,NON PPN
Raghukamal Hospital Eye Care Center,"66, Above Dena Bank, 3rd Floor, Marve Rd, Orlem, Kanchpada, Malad West,",MUMBAI,MAHARASHTRA,400064,PPN
Dr Thakurs Ear -Nose Throat Clinic and Hospital,"100A, RR Realty LBS Marg Bhandup West MumbaiMumbai",MUMBAI,MAHARASHTRA,400078,PPN
Family Care Hospitals,"Family Care Hospitals, Near Seven square academy Mira Rd, Golden Nest Phase 1
Rd, Queens Park, Mira Road East, Maharashtra 401105Thane",THANE,MAHARASHTRA,401107,PPN
V Care Hospital and ICU,"Rinisa Apartment Sai Baba Mandir Road, Nehru Nagar, Kurla East, Mumbai,
Maharashtra 400024Mumbai",MUMBAI,MAHARASHTRA,400024,PPN
chellam hospital madambakkam,"1, Madambakkam Main Rd, East Tambaram, Chennai, Tamil Nadu 600126Chennai",CHENNAI,TAMILNADU,600126,NON PPN
Aarogya Hospital And Research Center Pvt Ltc.,"Opposite HDFC Home Loans, Shankar Nagar, Raipur, Chhattisgarh 492007Raipur",RAIPUR,CHATTISGARH,492001,NON PPN
Rajat Maternity And General Hospital,"143, Sirshi Road, Engineer Colony, Panchyawala",JAIPUR,RAJASTHAN,302034,PPN
Fortune Hospital,"117/Q/40-A, Sharda Nagar, KanpurKapnpur",KANPUR,UTTAR PRADESH,208025,NON PPN
Dr. GR Reddy Eye Care Center,"D-No-1-4-1, Ward No-30, Opp RTC Bus Depot, TadepalligudemWest Godawari","GODAVARIKHA
NI",ANDHRA PRADESH,534101,NON PPN
Sai Kripa Hospital,"Ashish C.H.S. Rani Sati Road, Malad (East) MumbaiNear Sai Baba Temple",MUMBAI,MAHARASHTRA,400097,PPN
Melige Hospital,"SSR Mile Road, ThirthahalliThirthahalli",TIRTHAHALLI,KARNATAKA,577432,NON PPN
Eye Care Sodepur,"A-13, Barasat Road, Amarabati, Sodepur,",KOLKATA,WEST BENGAL,700110,PPN
Naraina Hospital & Research Centre,"1180, Gangaganj, Panki Kanpur Nagar",KANPUR,UTTAR PRADESH,208020,NON PPN
Dr BK Memorial Hospital,"A-75(88)M.B. Road,(Near Nimta High School,Kolkata",KOLKATA,WEST BENGAL,700049,PPN
Prova Eye Foundation,"66/1/1 S.N Banerjee Road, Near Gupta Cinema Hall, Barrack Railway station,
Barrackpore, West Bengal 700120",KOLKATA,WEST BENGAL,700120,PPN
Nutema Hospital,"Opp LLRM Medical College, Near Mansa Devi Rd, Garh Road",MEERUT,UTTAR PRADESH,250004,NON PPN
Germanten Hospitals,"4-8-138/1/B, Opposite pillar no. 150 Main Road, Attapur, Rajendra Nagar, KV Ranga
Reddy",HYDERABAD,TELANGANA,500048,PPN
Sarwa Trauma Hospital,"G.T. Road, Tatyapara, Raipur ChattisgarhRaipur",RAIPUR,CHATTISGARH,492001,NON PPN
Leela Eye Institute LLP,"Patel Plaza First Floor Near Ajit Scan Center, Murbad Road KalyanKalyan",KALYAN,MAHARASHTRA,421301,PPN
The Himalayan Eye Institute,"Jhankar More Bus Stop, Burdwan Road,Dist. Darjeeling,",SILIGURI,WEST BENGAL,734005,NON PPN
VY Hospital,"Adjacent to kamal vihar -sector-12, Boriyakala",RAIPUR,CHATTISGARH,492001,NON PPN
Bhanu Eye Care Centre,"Door No-26-23-17, NH-5, Road, Main Road gajuwakaVisakhapatnam","VISAKHAPATN
AM",ANDHRA PRADESH,530026,NON PPN
BOREGOWDA LINGAMMA HOSPITAL,"223, J B KAVAL, SURVEY NO.1, RAJIV GANDHI NAGAR, NANDINI LAYOUT,
BANGALORE Nandinilayout",BANGALORE,KARNATAKA,560096,NON PPN
THS Superspeciality Hospital,"NEAR MARUTHI THEATHER, B.H. ROAD, GUBBIGATE,TUMKUR",TUMKUR,KARNATAKA,572101,NON PPN
Vinaya Hospital,"Main Road Kundapur, udupi",UDUPI,KARNATAKA,576201,NON PPN
Debdoot Sevayan Hospital,"51, Charu Avenue, KolkataKolkata",KOLKATA,WEST BENGAL,700090,PPN
AIG Hospitals,"Door No 1-66/AIG/2-5, Survey No-136/1, Gachibowli",HYDERABAD,TELANGANA,500032,PPN
Shubham Lifeline Multispeciality Hospital,"1st Floor, Makwana Complex, Veer Savarkar Marg, Virar East, Palghar - 401305
Palghar (Virar)",MUMBAI,MAHARASHTRA,401305,PPN
Shree Sadguru Krupa Accident Fracture Hospital,"1st Floor, Mitali Heights, Gurudham Hotel Link Road, Kalyan East, Thane - 421306,
Near Kdmc D Ward Kalyan,",KALYAN,MAHARASHTRA,421306,PPN
FOR Ortho And Neuro Speciality Hospital,"No. 39-40-41, Dhanrajapuram Extension, 200 Feet Road Ambedkar Nagar Bus Stop,
Kolathur,",CHENNAI,TAMILNADU,600099,PPN
Aruna Hospital Tumkur,Dr Radhakrishnan Road Ss Puram Main RoadTumkur,TUMKUR,KARNATAKA,572102,NON PPN
Benaka Health Centre UJIRE,"#9-109/3, Near Ernoid Bridge,Main Road UjireDakshina Kannada","DHARMSTHAL
A",KARNATAKA,574240,NON PPN
Lakshmi Hospital Kolar,"No 463/464,Opp Ganesha Temple,Doom Light Circle",KOLAR,KARNATAKA,563101,NON PPN
Ayush Multispeciality Hospital,"Main Road, Santoshi Mata Chowk, Nehru Nagar, Pimpri, Pimpri-Chinchwad,
Maharashtra 411018Near Seva Vikas Bank",PUNE,MAHARASHTRA,411018,PPN
Care N Cure Multi Speciality Hospital,"NH1, Abhay Khand-III, Mother Dairy, Indirapuram",GHAZIABAD,UTTAR PRADESH,201014,PPN
Refracto Eye Hospital,"1-1-221/6,1st Floor, Sree Shanthi Towers, Beside Thrimurthy Enterprises, Vinayak
Nagar, Nizamabad",HYDERABAD,TELANGANA,503230,NON PPN
Srushti Hospital,"30, Kodichikkanahalli Main Road, Opp BWSSB Water Tank, Kaveri Nagar",BANGALORE,KARNATAKA,560068,PPN
Aishwarya Hospital,"30, 1st, main A-1Block Vijaya Nagar MysoreMysore",MYSORE,KARNATAKA,570030,NON PPN
NARAYANI NAVJEEVAN HOSPITAL AND NURSING HOME,"Shop No.18-20, Jolly Plaza, Deolali Camp, Nashik, Maharashtra 422601Nasik",NASIK,MAHARASHTRA,422601,PPN
Blue Line Hospital,"Mohanty Pada ,Infront of Income Tax Colony, Satichaura Chakk, Near Metto Super
Market",CUTTACK,ORISSA,753002,NON PPN
HCG Hospital,"Shipra Path, Mansarovar Sector 5, Mansarovar, Jaipur, Rajasthan 302020Jaipur",JAIPUR,RAJASTHAN,302020,PPN
Ankur Multispecialty Hospital,"Ground floor, Patel plaza, Murbad Road Near Ajit Scan Center, KalyanKalyan",KALYAN,MAHARASHTRA,421301,PPN
Prabha Eye Hospital,"Rasulpur Chowk, Near Asian Clinic, Main Mathura Road, Near Asian Clinic",PALWAL,HARYANA,121102,NON PPN
"PRADHAMA MULTISPECIALITY HOSPITAL & RESEARCH
INSTITUTE","D.NO. 1-1-83, VENKOJIPALE, VISAKHAPATNAM-530017","VISAKHAPATN
AM",ANDHRA PRADESH,530017,NON PPN
Vision Care Centre,"D. No. 43-14-24/4/2, (1st Floor), Sai Krishna complex, Main road, Railway New
Colony,","VISAKHAPATN
AM",ANDHRA PRADESH,530016,NON PPN
Tej Vedaant Hospitals,"Plot No. 84, Natashaa Towers, Near NMNC Hospital, Sector 17, Kopar Khairane,
Navi Mumbai, Maharashtra 400709Navi mumbai",NAVI MUMBAI,MAHARASHTRA,400709,PPN
Vardhman Hospital,"9, Sanjay Nagar, District Centre, Sector 23, Near Hotel Fortune Inn",GHAZIABAD,UTTAR PRADESH,201002,PPN
Koorapati Laparoscopy & Fertility Centre,"Plot No. 6-1-80, Kancharakunta, HanamkondaHanamkonda",HYDERABAD,TELANGANA,506001,NON PPN
Dr Bimal Hospital & Research Centre pvt Ltd,"Adarsh Colony Saguna More Road Near Junior DAV School, Bailey Road",PATNA,BIHAR,801503,NON PPN
Bhavsar Nursing Home & ICCU,"Shope 27 to 31 Ground floor, SkicityRetail, opp Bhandup Police Station, Lake Road,
BhandupMumbai",NAVI MUMBAI,MAHARASHTRA,400078,PPN
Sri Ramachandra Eye Hospital,"15, Ground Shed Street, Madurai",MADURAI,TAMILNADU,625001,NON PPN
Mundh Hospital,"SCO 18, B Block, District Shopping Centre, Near Kheti Bhawan, Ranjeet Avenue",AMRITSAR,PUNJAB,143001,PPN
Rajmahal Vilas Hospital,"138, Aecs Layout, Near-Reliance Fresh, Sanjay Nagar,",BANGALORE,KARNATAKA,560094,NON PPN
Narayanadri Hospital & Research Institute PVT LTD,"73/1A, Renigunta RoadSV Auto Nagar",TIRUPATI,ANDHRA PRADESH,517506,NON PPN
Divakars Speciality Hospital,"No 220, 9th Cross Road, Next to Nilgiris, Jeewan Griha Colony, JP Nagar",BANGALORE,KARNATAKA,560078,PPN
Siddharth Hospital,"101-104 first floor Q wing Rashmi Pink City Phase-1, Above Bank of Maharashtra,
Beside Don Bosco School Naigaon East. Post JuchandraNaigaon East",NAVI MUMBAI,MAHARASHTRA,401208,PPN
Raghavendra Eye Care,"D.No. 21/63-,1st floor krishna Hospital 2nd road, SKD Colony, adoni Adoni",KURNOOL,ANDHRA PRADESH,518301,NON PPN
Berhampore City Hospital,"Chaltia, Chaltia Road, Baharampur,",Murshidabad,WEST BENGAL,742165,NON PPN
Apollo Loga Hospital Karur,"163 A- E, Allwyn Nagar, 30, LGB Nagar, Vaiyapuri Nagar, Ramanujam Nagar,",KARUR,TAMILNADU,639002,NON PPN
Mai Mangeshkar Hospital,"Survey No. 117/1, Trilok Society, Mumbai-Bangalore Highway, Warje, Pune,
Maharashtra 411058Pune",PUNE,MAHARASHTRA,411058,PPN
"Vedanta Medical Research foundation Balco Medical
Centre","Sec-36, Naya raipurRaipur",RAIPUR,CHATTISGARH,493661,NON PPN
JS Hospital,"5A, Ramakrishna Road, Hasthampatti",SALEM,TAMILNADU,636007,NON PPN
Lotus Cure Multispeciality Hospital,"Survey No 56, Hashmatpet Road, Tirumalgherry Cross Road","SECUNDERABA
D",TELANGANA,500015,PPN
Retina Speciality Hospital,"324-325, Sch. No-54, PU-4, Rasoma Squre, A B Road, indoreIndore",INDORE,MADHYA PRADESH,452010,NON PPN
Mathoshree Multispeciality Hospital,"Shop No-10/11/ 14/15, Trupati Icon, Plot No 425, Sector 20, Near Central Bank ,
kamothe- Raigad- Raigad",RAIGAD,MAHARASHTRA,410209,PPN
Swarashi Netralaya,"Plot No:16, Zone-5/199, Unit No-2, Sector -28, Opp Saraswat Bank, Navi Mumbai -
vashi -400705Vashi",NAVI MUMBAI,MAHARASHTRA,400080,PPN
Purnima Hospital,"Daulat Nagar, Road No.8, Borivali East -400066Borivali",NAVI MUMBAI,MAHARASHTRA,400066,PPN
Apex Multispeciality Hospitals,"Off Western Express Highway, Dattapada Road, Next to Susawat Restaurent ,
Borivali East - 400066Borivali",MUMBAI,MAHARASHTRA,400066,PPN
Sharan Nursing Home,"101, Dipti Solitatri, Opp Navnit Cloth Store, Above Axis bank , MG Road, Ghatkopar
West -400086Ghatkopar",NAVI MUMBAI,MAHARASHTRA,400086,PPN
Tomar Nursing Home,"Prabhu Apartment, Near Union Bank of India, Ulhasnagar- 421001Ulhasnagar",THANE,MAHARASHTRA,421001,PPN
Cuddles N Cure Children Hospital,"1st Floor, Jalaram Ashish Blud.DD Road, Opp Mukhi Raj Hospital- Mulund -
400080Mulund",MUMBAI,MAHARASHTRA,400080,PPN
"Raghuveer Orthopaedics, Trauma & Multispeciality Centre","Near M.G. Automobiles, Ananthapur Road, BellariBallari",BELLARY,KARNATAKA,583101,NON PPN
Chirayu Hospital,"No-1020- Court Road, Opp Gescom Office, Kalaburagi, Karnataka 585102Kalaburgi",GULBARGA,KARNATAKA,585102,NON PPN
Udaya Nursing home,"V.P. Extension, CK Pura Main Rd, Chitradurga, Karnataka 577501Chitradurga",CHITRADURGA,KARNATAKA,577501,NON PPN
AV Multispeciality Hospital,"781-782, 7th block, 100 feet. Opp. Gupta College, Hosakerehalli Main Rd, 6th Block,
Banashankari 3rd Stage, Banashankari, Bengaluru, Karnataka 560085Bangalore",BANGALORE,KARNATAKA,560085,NON PPN
Maruti Netralaya,"Vidya Nagar, 1St Cross, Gadag",GADAG,KARNATAKA,582101,NON PPN
Manvi Multispeciality Hospital,"New Cotton Market Road, Deshpane Nagar, Hubballi, Karnataka 580029hubli",HUBLI,KARNATAKA,580029,NON PPN
Krishna Hospital,18th Cross RP Road NanjangudBangalore,NANJANGUD,KARNATAKA,571301,NON PPN
Peace Health Centre,"48-h/5, South Bus standTiruneveli",TIRUNELVELI,TAMILNADU,627005,NON PPN
Nephro Care Intensive Care Unit And General Icu,"228-Bc Road, Rehari Chungi Near, Maharishi Dayanand Hospital JammuJammu",JAMMU,JAMMU KASHMIR,180005,NON PPN
Avis Hospitals,"Plot No 99, Road no 1, Jubilee Hills, Next to Chiranjeevi Blood Bank, nil",HYDERABAD,TELANGANA,500033,PPN
"Atlanta Mediworld Multispeciality Hospital & Research
Centre","Plot No NH 01, Sector 14, Atal Chowk , Vasundhara",GHAZIABAD,UTTAR PRADESH,201010,PPN
Shalby Multi Specialty Hospital,"Near Navyug College, Rander Road, Adajan",SURAT,GUJARAT,395009,PPN
Srihitha Hospital,"No - 13-17-87 NR, Opp Pulla Reddy Sweet House, Beside Malabar Gold,
Chaitanyapuri, Dilsukhnagar",HYDERABAD,TELANGANA,500060,PPN
Aravind Eye Hospital (Chennai),"No 10, Poonamallee High Road, Noombal Icon, Goparasanallur,Dist. Thiruvallur,",CHENNAI,TAMILNADU,600077,PPN
Icon Hospital Pvt Ltd,"Plot No 34, CTS No 2471, Village Gajbandhan Patharli, Mahavir Nagar, Manpada
Road, Dombivili (E)",THANE,MAHARASHTRA,421201,PPN
Shrimann Superspeciality Hospital,"village Noorpur, Pathankot Byepass Road",JALANDHAR,PUNJAB,144012,PPN
Ganga Orthocare Hospital,"10 Basti Adda Road, Football ChowkShakti Nagar",JALANDHAR,PUNJAB,144001,PPN
SHREE HOSPITAL (URAN),"Ist floor, Harikrupa Apartment, Balai road, uran",RAIGARH,MAHARASHTRA,400702,NON PPN
Nirmala Hospital,"Chinthan Vilai road, Karungal,District KanyakumariKanyakumari",NAGERCOIL,TAMILNADU,629157,NON PPN
Dhanwantri Hospital And Research Centre,"21/22, Rawat Nagar, Kheme Ka Kunwa Pal roadnil",JODHPUR,RAJASTHAN,342008,NON PPN
Sri Vasavi Hospital,"No.158, Kamatchi Amman, Koil Streetnil","TIRUVANNAM
ALAI",TAMILNADU,606601,NON PPN
Dana Shivam Heart And Super Speciality Hospital,"Sector 2, Vijay Bari, Vidyadhar Nagar",JAIPUR,RAJASTHAN,302023,PPN
"Big Apollo Spectra Hospitals (A Unit of Big Healthcare Pvt.
Ltd.","Sheetla Mandir Road, Chhoti Pahari, Agamkuan",PATNA,BIHAR,800007,NON PPN
Suraksha Super Speciality Hospital,"6-895-3, Opp. Blind School,Sankarapuram",KADAPA,ANDHRA PRADESH,516002,NON PPN
Prathamesh Hospital,"Namdev Vihar,D-wing, Opp. Don Bosco Pre-school,Chikanghar,Rambaug
No.4Kalyan(W)",KALYAN,MAHARASHTRA,421301,NON PPN
Dr Tulips Obesity And Diabetes Surgery Centre,"80 Feet Main Road, No 640, 12th Main Road, 4th Block, Koramangala",BANGALORE,KARNATAKA,560034,NON PPN
PPK Hospital,"Main Road,Opp. to C.S.I. Chruch, marthandamKanyakumari Dist.","MARTHANDA
M",TAMILNADU,629165,NON PPN
Brindavan Hospital,"64&64/1, 3rd Cross, K.D. road, Jayalakshmipuram,Mysore-570012Mysore",MYSORE,KARNATAKA,570012,NON PPN
R K Hospital,"basaveshwara Complex, Kakolu Road, Rajanukunte -560064",BANGALORE,KARNATAKA,560064,NON PPN
Medicare Multispeciality Hospital,"santraswadi, Darga road,Kalaburgi-585101kalaburgi",GULBARGA,KARNATAKA,585101,NON PPN
Dr Kirans Eye Hospitals Pvt Ltd,"MIG 88, Road No 1, KPHB, Kukatpally, Balanagar",HYDERABAD,TELANGANA,500072,PPN
Bhagirathi Neotia Woman & Child Care Centre,"27-0327,Street no.327, Action Area 1D, New Townnil",KOLKATA,WEST BENGAL,700156,PPN
Drishtideep Eye Institute,"Universal Enclave,Subhas Pally North,Durgapur Express way,Service Road,
Dankuni,nil",HOOGLI,WEST BENGAL,712311,NON PPN
Bmr Hospitals,"33-25-33B/1,Main Road, Puspa Hotel Center,Surya RaopetKrishna District",VIJAYWADA,ANDHRA PRADESH,520002,NON PPN
Goyal Hospital,"B 33, LIC Colony, Paschim Vihar",NEW DELHI,DELHI,110087,PPN
Ganesh Netralaya,"Shakti Nagar, Devikere, SirsiNear Mahalaxmi Hospital",SIRSI,KARNATAKA,581401,NON PPN
Maa Ram Pyari Superspeciality Hospital,"Harihar Singh Road, Opp.Bariatu Petrol Pump, Morabadi,Ranchiranchi",RANCHI,JHARKHAND,834008,NON PPN
